Decade,Country,Land Temperature,Population,Annual CO2 Emissions,latitude,longitude
1850.0,United States,8.334275000000002,23579717.9,34075932.8,37.09024,-95.712891
1860.0,United States,8.413041666666663,31838900.7,62100036.8,37.09024,-95.712891
1870.0,United States,8.471375000000002,40240629.5,133686536.0,37.09024,-95.712891
1880.0,United States,8.247874999999999,50458000.0,274216324.8,37.09024,-95.712891
1890.0,United States,8.309050000000001,63302000.0,479073129.6,37.09024,-95.712891
1850.0,China,6.153825000000002,412000000.0,0.0,35.86166,104.195397
1860.0,China,6.146358333333335,377000000.0,0.0,35.86166,104.195397
1870.0,China,6.416608333333332,358000000.0,0.0,35.86166,104.195397
1880.0,China,6.189091666666665,368000000.0,0.0,35.86166,104.195397
1890.0,China,6.338733333333335,380000000.0,9526.4,35.86166,104.195397
1850.0,Brazil,24.258142857142857,7234000.0,0.0,-14.235004,-51.92528
1860.0,Brazil,24.319183333333328,,0.0,-14.235004,-51.92528
1870.0,Brazil,24.46685833333334,9797000.0,0.0,-14.235004,-51.92528
1880.0,Brazil,24.268941666666663,11794000.0,0.0,-14.235004,-51.92528
1890.0,Brazil,24.307366666666674,14199000.0,0.0,-14.235004,-51.92528
1850.0,Denmark,-18.49296666666667,1499000.0,468625.6,56.26392,9.501785
1860.0,Denmark,-18.81436666666666,1696000.0,830628.8,56.26392,9.501785
1870.0,Denmark,-18.122433333333333,1888000.0,1346886.4,56.26392,9.501785
1880.0,Denmark,-19.121583333333337,2081000.0,2404683.2,56.26392,9.501785
1890.0,Denmark,-19.067758333333344,2294000.0,3803598.4,56.26392,9.501785
1850.0,India,23.50790000000002,235800017.9,103291.7,20.593684,78.96288
1860.0,India,23.488160919540224,244248661.1,409181.0,20.593684,78.96288
1870.0,India,23.721791666666665,253000016.8,345765.8,20.593684,78.96288
1880.0,India,23.58563333333333,257200000.0,2686735.2,20.593684,78.96288
1890.0,India,23.85769166666667,279626000.0,6779723.5,20.593684,78.96288
1850.0,United Kingdom,8.36824166666667,27181000.0,130420446.4,55.378051,-3.435973
1860.0,United Kingdom,8.38735,28888000.0,195812220.8,55.378051,-3.435973
1870.0,United Kingdom,8.269833333333333,31400000.0,260939088.0,55.378051,-3.435973
1880.0,United Kingdom,8.049249999999999,34623000.0,319758379.2,55.378051,-3.435973
1890.0,United Kingdom,8.382125000000002,37485000.0,367374624.0,55.378051,-3.435973
