Decade,Country,Land Temperature,Population,Annual CO2 Emissions,latitude,longitude
1760.0,United States,8.821916666666667,,0.0,37.09024,-95.712891
1770.0,United States,7.185042553191487,,0.0,37.09024,-95.712891
1780.0,United States,7.114363636363636,,0.0,37.09024,-95.712891
1790.0,United States,9.519846153846157,,0.0,37.09024,-95.712891
1810.0,United States,6.640040540540544,7240000.0,595400.0,37.09024,-95.712891
1820.0,United States,8.425324999999997,9980510.2,1168816.0,37.09024,-95.712891
1830.0,United States,8.198316666666665,13240313.9,3918648.0,37.09024,-95.712891
1840.0,United States,8.222391666666669,17443768.0,11006656.0,37.09024,-95.712891
1850.0,United States,8.334275000000002,23579717.9,34075932.8,37.09024,-95.712891
1860.0,United States,8.413041666666663,31838900.7,62100036.8,37.09024,-95.712891
1870.0,United States,8.471375000000002,40240629.5,133686536.0,37.09024,-95.712891
1880.0,United States,8.247874999999999,50458000.0,274216324.8,37.09024,-95.712891
1890.0,United States,8.309050000000001,63302000.0,479073129.6,37.09024,-95.712891
1900.0,United States,8.448224999999999,76391000.0,939096136.4,37.09024,-95.712891
1910.0,United States,8.460249999999998,92767000.0,1447061077.1,37.09024,-95.712891
1920.0,United States,8.755250000000002,106881000.0,1754043734.3,37.09024,-95.712891
1930.0,United States,9.086991666666668,123668000.0,1543642449.1,37.09024,-95.712891
1940.0,United States,8.924091666666667,132637000.0,2264068748.0,37.09024,-95.712891
1950.0,United States,8.913233333333336,152271000.0,2674862879.2,37.09024,-95.712891
1960.0,United States,8.721916666666667,180671000.0,3360844823.8,37.09024,-95.712891
1970.0,United States,8.696924999999998,205052000.0,4611100903.0,37.09024,-95.712891
1980.0,United States,9.104308333333334,227726463.0,4583987527.5,37.09024,-95.712891
1990.0,United States,9.31755833333333,250131894.0,5440124140.5,37.09024,-95.712891
2000.0,United States,9.646724999999996,282158000.0,5967368625.2,37.09024,-95.712891
1500.0,United States,,2000000.0,,37.09024,-95.712891
1600.0,United States,,1500000.0,,37.09024,-95.712891
1700.0,United States,,1000000.0,,37.09024,-95.712891
1750.0,United States,,2000000.0,0.0,37.09024,-95.712891
1800.0,United States,,6000000.0,328660.8,37.09024,-95.712891
2010.0,United States,,,5437455128.9,37.09024,-95.712891
1820.0,China,6.346075,381000000.0,0.0,35.86166,104.195397
1830.0,China,5.916142857142857,409000000.0,0.0,35.86166,104.195397
1840.0,China,6.118708333333332,412000000.0,0.0,35.86166,104.195397
1850.0,China,6.153825000000002,412000000.0,0.0,35.86166,104.195397
1860.0,China,6.146358333333335,377000000.0,0.0,35.86166,104.195397
1870.0,China,6.416608333333332,358000000.0,0.0,35.86166,104.195397
1880.0,China,6.189091666666665,368000000.0,0.0,35.86166,104.195397
1890.0,China,6.338733333333335,380000000.0,9526.4,35.86166,104.195397
1900.0,China,6.320558333333337,400000000.0,8396422.4,35.86166,104.195397
1910.0,China,6.3209583333333335,423000000.0,18144860.8,35.86166,104.195397
1920.0,China,6.621258333333333,472000000.0,31218650.6,35.86166,104.195397
1930.0,China,6.590158333333336,489000000.0,51363999.5,35.86166,104.195397
1940.0,China,7.002716666666666,518770000.0,70052065.1,35.86166,104.195397
1950.0,China,6.700716666666664,546815000.0,250974818.1,35.86166,104.195397
1960.0,China,6.779125000000002,667070000.0,511261484.3,35.86166,104.195397
1970.0,China,6.8643500000000035,818315000.0,1110364914.3,35.86166,104.195397
1980.0,China,6.9789249999999985,981861000.0,1885998160.3,35.86166,104.195397
1990.0,China,7.344066666666661,1135185000.0,3007003992.2,35.86166,104.195397
2000.0,China,7.672875,1262645000.0,5428075160.9,35.86166,104.195397
1500.0,China,,103000000.0,,35.86166,104.195397
1600.0,China,,160000000.0,,35.86166,104.195397
1650.0,China,,140000000.0,,35.86166,104.195397
1700.0,China,,138000000.0,,35.86166,104.195397
1750.0,China,,225000000.0,0.0,35.86166,104.195397
1800.0,China,,330000000.0,0.0,35.86166,104.195397
1810.0,China,,345717000.0,0.0,35.86166,104.195397
1760.0,China,,,0.0,35.86166,104.195397
1770.0,China,,,0.0,35.86166,104.195397
1780.0,China,,,0.0,35.86166,104.195397
